Campo_Tec;Area_Tec;Ano;Depósitos
Manejo;Engenharia mecânica;2005;589
Engenharia civil;Outras áreas;2005;575
Outros bens de consumo;Outras áreas;2005;521
Transporte;Engenharia mecânica;2005;519
Tecnologia aplicada a medicina;Instrumentos;2005;401
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2005;265
Elementos mecânicos;Engenharia mecânica;2005;259
Engenharia química;Química;2005;190
Aparelhos e processos térmicos;Engenharia mecânica;2005;187
Máquinas ferramentas;Engenharia mecânica;2005;177
Medição;Instrumentos;2005;172
Controle;Instrumentos;2005;172
Motores - bombas - turbinas;Engenharia mecânica;2005;170
Química de materiais básicos;Química;2005;162
Tecnologia audiovisual;Engenharia elétrica;2005;159
Química de alimentos;Química;2005;155
Produtos farmacêuticos;Química;2005;134
Máquinas têxteis e de papel;Engenharia mecânica;2005;128
Tecnologia aplicada ao meio ambiente;Química;2005;120
Materiais - metalurgia;Química;2005;119
Telecomunicações;Engenharia elétrica;2005;92
Tecnologia da computação;Engenharia elétrica;2005;87
Tecnologia de superfícies e revestimentos;Química;2005;67
Química orgânica fina;Química;2005;57
Biotecnologia;Química;2005;41
Ótica;Instrumentos;2005;36
Química macromolecular e polímeros;Química;2005;35
Análise de material biológico;Instrumentos;2005;29
Comunicação digital;Engenharia elétrica;2005;12
Processos básicos de comunicação;Engenharia elétrica;2005;10
Semicondutores;Engenharia elétrica;2005;7
Métodos de gestão em TI;Engenharia elétrica;2005;4
Microestruturas e nanotecnologia;Química;2005;3
Mobiliário - jogos;Outras áreas;2006;650
Engenharia civil;Outras áreas;2006;575
Outras maquinas especiais;Engenharia mecânica;2006;547
Manejo;Engenharia mecânica;2006;541
Outros bens de consumo;Outras áreas;2006;521
Transporte;Engenharia mecânica;2006;473
Tecnologia aplicada a medicina;Instrumentos;2006;413
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2006;282
Elementos mecânicos;Engenharia mecânica;2006;218
Máquinas ferramentas;Engenharia mecânica;2006;216
Química de materiais básicos;Química;2006;196
Aparelhos e processos térmicos;Engenharia mecânica;2006;190
Tecnologia audiovisual;Engenharia elétrica;2006;185
Motores - bombas - turbinas;Engenharia mecânica;2006;185
Engenharia química;Química;2006;174
Medição;Instrumentos;2006;173
Química de alimentos;Química;2006;139
Materiais - metalurgia;Química;2006;131
Controle;Instrumentos;2006;125
Produtos farmacêuticos;Química;2006;118
Máquinas têxteis e de papel;Engenharia mecânica;2006;118
Tecnologia aplicada ao meio ambiente;Química;2006;107
Telecomunicações;Engenharia elétrica;2006;95
Tecnologia da computação;Engenharia elétrica;2006;81
Tecnologia de superfícies e revestimentos;Química;2006;76
Química orgânica fina;Química;2006;72
Biotecnologia;Química;2006;46
Métodos de gestão em TI;Engenharia elétrica;2006;43
Ótica;Instrumentos;2006;39
Química macromolecular e polímeros;Química;2006;38
Comunicação digital;Engenharia elétrica;2006;21
Análise de material biológico;Instrumentos;2006;16
Processos básicos de comunicação;Engenharia elétrica;2006;12
Semicondutores;Engenharia elétrica;2006;9
Microestruturas e nanotecnologia;Química;2006;2
Mobiliário - jogos;Outras áreas;2007;635
Engenharia civil;Outras áreas;2007;547
Manejo;Engenharia mecânica;2007;545
Transporte;Engenharia mecânica;2007;516
Outras maquinas especiais;Engenharia mecânica;2007;497
Outros bens de consumo;Outras áreas;2007;492
Tecnologia aplicada a medicina;Instrumentos;2007;406
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2007;238
Química de materiais básicos;Química;2007;226
Elementos mecânicos;Engenharia mecânica;2007;223
Engenharia química;Química;2007;223
Medição;Instrumentos;2007;206
Motores - bombas - turbinas;Engenharia mecânica;2007;178
Aparelhos e processos térmicos;Engenharia mecânica;2007;165
Máquinas ferramentas;Engenharia mecânica;2007;158
Tecnologia audiovisual;Engenharia elétrica;2007;145
Química de alimentos;Química;2007;140
Produtos farmacêuticos;Química;2007;136
Controle;Instrumentos;2007;128
Tecnologia aplicada ao meio ambiente;Química;2007;122
Química orgânica fina;Química;2007;118
Máquinas têxteis e de papel;Engenharia mecânica;2007;117
Materiais - metalurgia;Química;2007;112
Telecomunicações;Engenharia elétrica;2007;95
Tecnologia da computação;Engenharia elétrica;2007;91
Biotecnologia;Química;2007;80
Química macromolecular e polímeros;Química;2007;52
Tecnologia de superfícies e revestimentos;Química;2007;46
Métodos de gestão em TI;Engenharia elétrica;2007;42
Ótica;Instrumentos;2007;32
Comunicação digital;Engenharia elétrica;2007;24
Análise de material biológico;Instrumentos;2007;17
Semicondutores;Engenharia elétrica;2007;9
Processos básicos de comunicação;Engenharia elétrica;2007;8
Microestruturas e nanotecnologia;Química;2007;7
Mobiliário - jogos;Outras áreas;2008;686
Engenharia civil;Outras áreas;2008;600
Transporte;Engenharia mecânica;2008;564
Outras maquinas especiais;Engenharia mecânica;2008;534
Manejo;Engenharia mecânica;2008;493
Outros bens de consumo;Outras áreas;2008;492
Tecnologia aplicada a medicina;Instrumentos;2008;423
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2008;302
Elementos mecânicos;Engenharia mecânica;2008;244
Engenharia química;Química;2008;216
Máquinas ferramentas;Engenharia mecânica;2008;197
Química de materiais básicos;Química;2008;193
Medição;Instrumentos;2008;192
Motores - bombas - turbinas;Engenharia mecânica;2008;167
Aparelhos e processos térmicos;Engenharia mecânica;2008;165
Tecnologia audiovisual;Engenharia elétrica;2008;164
Controle;Instrumentos;2008;147
Química de alimentos;Química;2008;141
Tecnologia aplicada ao meio ambiente;Química;2008;132
Produtos farmacêuticos;Química;2008;128
Materiais - metalurgia;Química;2008;128
Tecnologia da computação;Engenharia elétrica;2008;116
Química orgânica fina;Química;2008;110
Máquinas têxteis e de papel;Engenharia mecânica;2008;102
Telecomunicações;Engenharia elétrica;2008;85
Biotecnologia;Química;2008;85
Métodos de gestão em TI;Engenharia elétrica;2008;64
Tecnologia de superfícies e revestimentos;Química;2008;58
Química macromolecular e polímeros;Química;2008;37
Ótica;Instrumentos;2008;34
Análise de material biológico;Instrumentos;2008;27
Comunicação digital;Engenharia elétrica;2008;24
Processos básicos de comunicação;Engenharia elétrica;2008;13
Semicondutores;Engenharia elétrica;2008;5
Microestruturas e nanotecnologia;Química;2008;4
Engenharia civil;Outras áreas;2009;691
Mobiliário - jogos;Outras áreas;2009;651
Transporte;Engenharia mecânica;2009;577
Outros bens de consumo;Outras áreas;2009;521
Manejo;Engenharia mecânica;2009;516
Outras maquinas especiais;Engenharia mecânica;2009;481
Tecnologia aplicada a medicina;Instrumentos;2009;419
Máquinas - aparelhos elétricos - energia;Engenharia elétrica;2009;302
Elementos mecânicos;Engenharia mecânica;2009;253
Engenharia química;Química;2009;208
Motores - bombas - turbinas;Engenharia mecânica;2009;196
Medição;Instrumentos;2009;185
Química de materiais básicos;Química;2009;171
Máquinas ferramentas;Engenharia mecânica;2009;164
Aparelhos e processos térmicos;Engenharia mecânica;2009;160
Controle;Instrumentos;2009;157
Química de alimentos;Química;2009;154
Tecnologia aplicada ao meio ambiente;Química;2009;134
Tecnologia audiovisual;Engenharia elétrica;2009;130
Materiais - metalurgia;Química;2009;128
